X (Hz),Y (dBV),
20657.69,-89.78683,
20695.87,-89.86598,
20734.05,-89.71839,
20772.24,-89.76118,
20810.42,-89.70117,
20848.61,-89.82445,
20886.79,-89.75602,
20924.97,-89.31637,
20963.16,-88.95134,
21001.34,-89.7483,
21039.53,-88.83804,
21077.71,-89.09825,
21115.9,-90.73828,
21154.08,-91.24028,
21192.27,-90.43542,
21230.45,-90.51204,
21268.63,-90.90059,
21306.82,-90.5312,
21345,-90.46104,
21383.19,-90.38722,
21421.37,-90.39706,
21459.55,-90.65346,
21497.74,-90.72358,
21535.92,-90.35515,
21574.11,-90.57059,
21612.29,-90.70298,
21650.48,-90.59789,
21688.66,-90.54414,
21726.84,-90.39997,
21765.03,-90.54398,
21803.21,-90.72724,
21841.4,-90.62267,
21879.58,-90.64938,
21917.77,-90.62787,
21955.95,-90.57489,
21994.13,-91.175,
22032.32,-90.72407,
22070.5,-89.87155,
22108.69,-90.40285,
22146.87,-91.03636,
22185.06,-90.45884,
22223.24,-90.80891,
22261.42,-90.82778,
22299.61,-90.83556,
22337.79,-90.90054,
22375.98,-90.75446,
22414.16,-90.88558,
22452.35,-91.04216,
22490.53,-90.93346,
22528.71,-90.87781,
22566.9,-91.10073,
22605.08,-91.14561,
22643.27,-91.16066,
22681.45,-91.24329,
22719.63,-90.95432,
22757.82,-91.38594,
22796,-91.66147,
22834.19,-91.29015,
22872.37,-91.48606,
22910.56,-91.75317,
22948.74,-91.87337,
22986.93,-93.77326,
23025.11,-93.07023,
23063.29,-93.65367,
23101.48,-85.32727,
23139.66,-89.25021,
23177.85,-89.47215,
23216.03,-90.00713,
23254.21,-90.45937,
23292.4,-90.1636,
23330.58,-90.34721,
23368.77,-90.58884,
23406.95,-90.2616,
23445.14,-90.70319,
23483.32,-90.82295,
23521.51,-90.40398,
23559.69,-90.7933,
23597.87,-90.80499,
23636.06,-90.80292,
23674.24,-90.83169,
23712.43,-90.611,
23750.61,-91.04128,
23788.79,-91.04253,
23826.98,-90.76633,
23865.16,-90.90951,
23903.35,-90.90493,
23941.53,-91.00117,
23979.72,-91.35527,
24017.9,-90.48766,
24056.08,-91.04305,
24094.27,-89.73463,
24132.45,-91.08649,
24170.64,-90.71143,
24208.82,-91.06546,
24247.01,-91.10582,
24285.19,-91.05824,
24323.38,-91.05381,
24361.56,-91.03171,
24399.74,-90.89417,
24437.93,-91.28593,
24476.11,-91.23277,
24514.29,-90.98328,
24552.48,-91.1722,
24590.66,-91.16292,
24628.85,-91.17014,
24667.03,-91.24094,
24705.22,-91.14719,
24743.4,-91.43937,
24781.59,-91.33434,
24819.77,-91.03104,
24857.96,-91.21992,
24896.14,-91.49895,
24934.32,-91.44051,
24972.51,-91.68913,
25010.69,-90.49087,
25048.88,-90.88048,
25087.06,-83.96651,
25125.24,-91.97732,
25163.43,-90.82137,
25201.61,-91.52123,
25239.8,-91.42114,
25277.98,-91.11795,
25316.17,-91.39983,
25354.35,-91.36772,
25392.53,-91.23737,
25430.72,-91.82947,
25468.9,-91.38886,
25507.09,-91.25404,
25545.27,-91.83879,
25583.46,-91.74397,
25621.64,-91.56845,
25659.82,-91.64132,
25698.01,-91.58026,
25736.19,-91.83401,
25774.38,-91.67069,
25812.56,-91.50414,
25850.74,-91.75835,
25888.93,-91.73241,
25927.11,-91.90707,
25965.3,-91.91823,
26003.48,-91.36825,
26041.67,-91.87343,
26079.85,-90.80963,
26118.04,-91.43878,
26156.22,-91.413,
26194.4,-92.06809,
26232.59,-91.72345,
26270.77,-91.81755,
26308.96,-91.74432,
26347.14,-91.78894,
26385.32,-91.87112,
26423.51,-91.7241,
26461.69,-91.64334,
26499.88,-91.78539,
26538.06,-91.8038,
26576.25,-91.8187,
26614.43,-91.72896,
26652.62,-91.67212,
26690.8,-91.76052,
26728.98,-91.85271,
26767.17,-91.66546,
26805.35,-91.54672,
26843.54,-91.75275,
26881.72,-91.57137,
